id,title,description,availability,condition,price,link,image_link,brand,google_product_category,product_type
asun,Asun,Mini $25 · Each $40 · Small Tray $75 · Medium Tray $150 · Large Tray $400,in stock,new,25.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/asun.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
grilled-fish,Grilled Fish,Tilapia $20 · Catfish $30 · Croaker $30,in stock,new,20.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/grilled-fish.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",The Grill
ayamase-green-sauce,Ayamase (Green Sauce),Each $35 · Regular $125,in stock,new,35.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/ayamase-green-sauce.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
ofada-red-designer-sauce,Ofada Red (Designer Sauce),Pack $35 · Regular $125,in stock,new,35.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/ofada-red-designer-sauce.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Soups & Stews
dun-dun-fried-yam,Dun Dun (Fried Yam),Each $15 · Regular $50,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/dun-dun-fried-yam.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
jollof-rice,Jollof Rice,Pack $15 · Medium Tray $50 · Full Tray $100 · Regular $120 · Large Tray $150,in stock,new,15.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/jollof-rice.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
ofada-rice,Ofada Rice,Sides · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/ofada-rice.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
peppered-goat-meat,Peppered Goat Meat,Sides · $20,in stock,new,20.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/peppered-goat-meat.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
white-rice,White Rice,Sides · $10,in stock,new,10.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/white-rice.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Sides
chin-chin-diamond-cut,Chin Chin — Diamond cut,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/chin-chin-diamond-cut.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
chukchuk,Chukchuk,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/chukchuk.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
kokoro,Kokoro,Snacks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/kokoro.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
nkatie-peanut-burger,Nkatie Peanut Burger,Snacks · $2,in stock,new,2.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/nkatie-peanut-burger.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Snacks
fayrouz-can-pineapple-flavour-33cl,Fayrouz Can Pineapple Flavour 33CL,Drinks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/fayrouz-can-pineapple-flavour-33cl.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
hollandia-strawberry-1l,Hollandia - Strawberry - 1L,Drinks · $20,in stock,new,20.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/hollandia-strawberry-1l.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
lacasera,Lacasera,Drinks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/lacasera.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
naija-coke-50cl,Naija Coke - 50cl,Drinks · $5,in stock,new,5.00 CAD,https://ordernow.flosgrill.ca,https://cdn.jsdelivr.net/gh/lanreflo-pixel/flosgrill-ad-assets@main/menu/naija-coke-50cl.jpg,Flo's Grill,"Food, Beverages & Tobacco > Food Items > Prepared Foods",Drinks
